Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2026-03-18,26238,26230,2026-03-16,2026-03-25,64.001,62.95,-1.6421618412212347,-0.9514609359876598,,,
A_Auctions,2026-03-18,26238,26238,2026-03-16,2026-03-25,61.209,59.875,-2.1794180594357115,-0.9514609359876598,,,
A_Auctions,2026-03-18,26238,26240,2026-03-16,2026-03-25,63.582,63.298,-0.4466672957755269,-0.9514609359876598,,,
A_Auctions,2026-03-18,26238,26244,2026-03-16,2026-03-25,87.184,86.849,-0.38424481556248447,-0.9514609359876598,,,
A_Auctions,2026-03-18,26238,26245,2026-03-16,2026-03-25,89.548,88.779,-0.8587573145128924,-0.9514609359876598,,,
A_Auctions,2026-03-18,26238,26249,2026-03-16,2026-03-25,88.094,87.92,-0.19751628941810928,-0.9514609359876598,,,
A_Auctions,2026-03-18,26250,26230,2026-03-16,2026-03-25,64.001,62.95,-1.6421618412212347,-0.9514609359876598,,,
A_Auctions,2026-03-18,26250,26238,2026-03-16,2026-03-25,61.209,59.875,-2.1794180594357115,-0.9514609359876598,,,
A_Auctions,2026-03-18,26250,26240,2026-03-16,2026-03-25,63.582,63.298,-0.4466672957755269,-0.9514609359876598,,,
A_Auctions,2026-03-18,26250,26244,2026-03-16,2026-03-25,87.184,86.849,-0.38424481556248447,-0.9514609359876598,,,
A_Auctions,2026-03-18,26250,26245,2026-03-16,2026-03-25,89.548,88.779,-0.8587573145128924,-0.9514609359876598,,,
A_Auctions,2026-03-18,26250,26249,2026-03-16,2026-03-25,88.094,87.92,-0.19751628941810928,-0.9514609359876598,,,
A_Auctions,2026-03-25,26230,26230,2026-03-23,2026-03-30,63.475,62.837,-1.005120126033865,-0.3659434838583997,,,
A_Auctions,2026-03-25,26230,26238,2026-03-23,2026-03-30,59.818,59.469,-0.5834364238189171,-0.3659434838583997,,,
